"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,1108.9888869606866,1.7690237145033934,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,9009.174230845887,11.072866875920344,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,84993.26686460752,117.47004153306246,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,786328.0156323682,1040.9834901661548,"ns/op","","1000",""
"OpenCsvMapper","avgt",1,100,2664.220301742692,1.481348285657719,"ns/op","","1",""
"OpenCsvMapper","avgt",1,100,13835.369166844095,15.454881000971586,"ns/op","","10",""
"OpenCsvMapper","avgt",1,100,127456.28920603989,171.99239508578282,"ns/op","","100",""
"OpenCsvMapper","avgt",1,100,1289989.7378726045,5485.636156044605,"ns/op","","1000",""
"ReadSfmCsvMapper","avgt",1,100,2333.527579837266,1.3822021948099068,"ns/op","","1",""
"ReadSfmCsvMapper","avgt",1,100,6404.328448651346,3.8006368168963243,"ns/op","","10",""
"ReadSfmCsvMapper","avgt",1,100,49773.5404245646,69.75418271152007,"ns/op","","100",""
"ReadSfmCsvMapper","avgt",1,100,508778.43384001584,8063.836892333493,"ns/op","","1000",""
"UnivocityCsvMapper","avgt",1,100,5008232.532908472,24356.45855698171,"ns/op","","1",""
"UnivocityCsvMapper","avgt",1,100,4973486.9671203485,20518.653561411982,"ns/op","","10",""
"UnivocityCsvMapper","avgt",1,100,5131389.663994997,26107.831086818893,"ns/op","","100",""
"UnivocityCsvMapper","avgt",1,100,6005862.841670798,35792.69659777856,"ns/op","","1000",""
"HibernateStatefull","avgt",1,100,335260.6294463195,13710.742703442776,"ns/op","MYSQL","1",""
"HibernateStatefull","avgt",1,100,408728.3897660347,15379.300504941237,"ns/op","MYSQL","10",""
"HibernateStatefull","avgt",1,100,1109191.339350265,32516.68116715022,"ns/op","MYSQL","100",""
"HibernateStatefull","avgt",1,100,5605682.382183557,28921.87452476011,"ns/op","MYSQL","1000",""
"MyBatis","avgt",1,100,438717.3113846363,12976.167746106734,"ns/op","MYSQL","1",""
"MyBatis","avgt",1,100,542321.3469035563,15114.56166337596,"ns/op","MYSQL","10",""
"MyBatis","avgt",1,100,1215078.343310182,35882.71401798847,"ns/op","MYSQL","100",""
"MyBatis","avgt",1,100,7355339.035866503,70163.14259585574,"ns/op","MYSQL","1000",""
"PureJdbc","avgt",1,100,245638.75208419046,3826.487974324073,"ns/op","MYSQL","1",""
"PureJdbc","avgt",1,100,325748.40379574103,15009.331171451233,"ns/op","MYSQL","10",""
"PureJdbc","avgt",1,100,676318.8309380446,36006.21159632718,"ns/op","MYSQL","100",""
"PureJdbc","avgt",1,100,2861492.3376966547,14307.740301400676,"ns/op","MYSQL","1000",""
"Jooq","avgt",1,100,355530.3533213725,2877.7242222059567,"ns/op","MYSQL","1",""
"Jooq","avgt",1,100,457760.75753264426,11175.852126088203,"ns/op","MYSQL","10",""
"Jooq","avgt",1,100,971970.0815222446,20238.234749202522,"ns/op","MYSQL","100",""
"Jooq","avgt",1,100,4598886.996384368,24996.01044307517,"ns/op","MYSQL","1000",""
"JooqWithSfmMapping","avgt",1,100,347613.65714695625,2669.15166665596,"ns/op","MYSQL","1",""
"JooqWithSfmMapping","avgt",1,100,437806.38640690217,11430.340466380814,"ns/op","MYSQL","10",""
"JooqWithSfmMapping","avgt",1,100,882144.7408822025,19921.37786343779,"ns/op","MYSQL","100",""
"JooqWithSfmMapping","avgt",1,100,4027961.777522215,19632.27456115046,"ns/op","MYSQL","1000",""
"JdbcMapperDynamic","avgt",1,100,245759.81994266622,3865.1100958420634,"ns/op","MYSQL","1","true"
"JdbcMapperDynamic","avgt",1,100,245318.0441352584,3535.0190298856623,"ns/op","MYSQL","1","false"
"JdbcMapperDynamic","avgt",1,100,325699.3020929847,15456.860842289596,"ns/op","MYSQL","10","true"
"JdbcMapperDynamic","avgt",1,100,337334.58785810793,17732.933437931937,"ns/op","MYSQL","10","false"
"JdbcMapperDynamic","avgt",1,100,704791.1078262458,31364.962501787864,"ns/op","MYSQL","100","true"
"JdbcMapperDynamic","avgt",1,100,719193.023059178,30542.16052201079,"ns/op","MYSQL","100","false"
"JdbcMapperDynamic","avgt",1,100,2993858.2332202136,15437.97544997554,"ns/op","MYSQL","1000","true"
"JdbcMapperDynamic","avgt",1,100,3019645.942835476,14722.836415745614,"ns/op","MYSQL","1000","false"
"JdbcMapperStatic","avgt",1,100,245730.06659629743,3577.268411995288,"ns/op","MYSQL","1","true"
"JdbcMapperStatic","avgt",1,100,246484.9280329882,4328.529866813651,"ns/op","MYSQL","1","false"
"JdbcMapperStatic","avgt",1,100,319391.51964767405,14411.529419375616,"ns/op","MYSQL","10","true"
"JdbcMapperStatic","avgt",1,100,319607.86760640907,14278.5455764644,"ns/op","MYSQL","10","false"
"JdbcMapperStatic","avgt",1,100,696652.5637691589,36867.47552415352,"ns/op","MYSQL","100","true"
"JdbcMapperStatic","avgt",1,100,694534.4730343722,31797.965459014064,"ns/op","MYSQL","100","false"
"JdbcMapperStatic","avgt",1,100,2871559.184547469,14108.358442853641,"ns/op","MYSQL","1000","true"
"JdbcMapperStatic","avgt",1,100,2912409.950593461,14324.975875364678,"ns/op","MYSQL","1000","false"
"BeanPropertyRowMapper","avgt",1,100,317517.1726445465,13967.576443526885,"ns/op","MYSQL","1",""
"BeanPropertyRowMapper","avgt",1,100,478833.7610494481,15251.298007213996,"ns/op","MYSQL","10",""
"BeanPropertyRowMapper","avgt",1,100,1979668.7601717499,21638.598646076098,"ns/op","MYSQL","100",""
"BeanPropertyRowMapper","avgt",1,100,1.4452979488024037E7,195769.61310618187,"ns/op","MYSQL","1000",""
"Roma","avgt",1,100,254289.81281521998,3950.707397373848,"ns/op","MYSQL","1",""
"Roma","avgt",1,100,388940.65995742934,22639.271775012814,"ns/op","MYSQL","10",""
"Roma","avgt",1,100,719603.39981786,33604.55011692537,"ns/op","MYSQL","100",""
"Roma","avgt",1,100,3209933.6430627387,32648.6522766791,"ns/op","MYSQL","1000",""
"Sql2O","avgt",1,100,263019.09412431647,4757.468908005087,"ns/op","MYSQL","1",""
"Sql2O","avgt",1,100,373500.63257274503,21723.045338823846,"ns/op","MYSQL","10",""
"Sql2O","avgt",1,100,790307.7861005417,30329.484987549175,"ns/op","MYSQL","100",""
"Sql2O","avgt",1,100,3633836.3057017904,16257.588443300683,"ns/op","MYSQL","1000",""
